Quote,Author,Book,Year,Category,Page,Source_Book_ID,Quote_Length,Import_Status,AI_Confidence,Notes
"CF2 = CFOCF2CFOCF2CF2SO3H \CF3 Nafion 117 contains fluorine, carbon, oxygen, sulfur, and hydrogen arranged in repeating polymer molecules.",,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),,Science,,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),138,,60.5,
"Hot-Pressing the Sandwich Together A hot press was made using a hydraulic 20 ton shop press, and two homemade aluminum heating plates.",,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),,Science,,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),134,,59.5,
"By year-end 2002, 30 percent of enterprises will suffer serious security exposures from deploying WLANs without implementing the proper security.",,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",,Unknown,,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",145,,63.75,
Traditional intrusion detection systems are plagued by false positives because they rely on a single detection technology – mostly attack signatures.,,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",,Unknown,,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",149,,62.75,
"When an access point is attached to an unfiltered segment of the enterprise network, the access point broadcasts “Spanning Tree” (802.1D) packets.",,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",,Unknown,,"(EBooks) Hacking - Wireless LAN Security, What Hackers Know That You Dont",146,,61.5,
"Pioneering experiments were also conducted in fluorescent lighting, vacuum tube, radio, robotics, and X-ray technologies [3 pp.",,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,,Science,,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,127,,61.75,
EARLY EXPERIENCES Circumstances in Nikola’s early life resulted in his imagination being exercised to the extreme.,,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,,Science,,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,114,,60.5,
"In his dazzling demonstrations, he not only amazed his audiences but also sparked the interest of many contemporary and future inventors.",,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,,Science,,(Ebook - Free Energy) - Nikola Tesla - Master Of Imagination,137,,60.25,
"This is why we have introduced our Homemade Battery plans, It is a cheap alternative energy source for these people to use.",,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,,Science,,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,123,,62.75,
"Research has proving that you can build a simple water cell battery, powerful enough to run a car as well as your home lighting.",,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,,Science,,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,128,,60.0,
"Even if they built small cheap water batteries, these small batteries can still be used for low lighting which is better than nothing.",,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,,Science,,(Ebook - Free Energy) Homemade Batteries - (Ebook Diy 783710,134,,59.5,
"The snake symbol happens to be very similar to the modern symbol of static electricity and Horus represented, amongst other things, lightning.",,"(Ebook) - Ancient Batteries, Egypt, The Anhk",,Mythology,,"(Ebook) - Ancient Batteries, Egypt, The Anhk",142,,64.5,
"Dendera Glyphs, Djed, Ankh and Staff-Scepter At the Hathor Temple in Dendera, Egypt, several intriguing glyphs are depicting strange scenes.",,"(Ebook) - Ancient Batteries, Egypt, The Anhk",,Mythology,,"(Ebook) - Ancient Batteries, Egypt, The Anhk",140,,63.0,
"On the first look, they seem to support the conclusions of the egyptologysts about the mythological nature of the Dendera wall art.",,"(Ebook) - Ancient Batteries, Egypt, The Anhk",,Mythology,,"(Ebook) - Ancient Batteries, Egypt, The Anhk",131,,62.75,
"If the sensation-function, then the senses discover some new and never- before-experienced possibility, both within and without the body.",,(eBook PDF) Psychology - Carl Jung - Psychological Types,,Psychology,,(eBook PDF) Psychology - Carl Jung - Psychological Types,137,,68.25,
"His entire consciousness looks outwards to the world, because the important and decisive determination always comes to him from without.",,(eBook PDF) Psychology - Carl Jung - Psychological Types,,Psychology,,(eBook PDF) Psychology - Carl Jung - Psychological Types,136,,68.0,
"Reasoning judgment, in such a psychology, represents a power that coerces the untidy and accidental things of life into definite forms;",,(eBook PDF) Psychology - Carl Jung - Psychological Types,,Psychology,,(eBook PDF) Psychology - Carl Jung - Psychological Types,135,,67.75,
"rather this knowledge, feeling and choice are essentially eternal and unchangeable and numerically one in all men, nay in all sensitive beings.",,"(eBook) The Book on The Taboo against knowing who you are, A",,Unknown,,"(eBook) The Book on The Taboo against knowing who you are, A",143,,74.25,
"It is almost a general principle that consciousness ignores intervals, and yet cannot notice any pulse of energy without them.",,"(eBook) The Book on The Taboo against knowing who you are, A",,Unknown,,"(eBook) The Book on The Taboo against knowing who you are, A",126,,71.5,
"Without birth and death, and without the perpetual transmutation of all forms of life, the world would be static, rhythmless, undancing, mummified.",,"(eBook) The Book on The Taboo against knowing who you are, A",,Unknown,,"(eBook) The Book on The Taboo against knowing who you are, A",147,,69.25,
"For example, you may be restricted to inject the hydrogen/oxygen vapor without any water vapor, as it may rust the injectors.",,(ebook - free energy) - How to Convert your Car to run on WA,,Science,,(ebook - free energy) - How to Convert your Car to run on WA,125,,61.25,
"Set your throttle circuit so that you get minimum vapor flow at idle, and maximum vapor flow at full power without blowing the pressure relief valve.",,(ebook - free energy) - How to Convert your Car to run on WA,,Science,,(ebook - free energy) - How to Convert your Car to run on WA,149,,60.75,
"Gasoline versus Water There is a lot of thermochemical energy in gasoline, but there is even more energy in water.",,(ebook - free energy) - How to Convert your Car to run on WA,,Science,,(ebook - free energy) - How to Convert your Car to run on WA,114,,60.5,
"Yes, even near us, though unseen, Our dear, immortal spirits tread-- For all God's boundless Universe Is Life--there are no dead.",,(ebook - metaphysical) - Occult Principles of Health and Healing,,Unknown,,(ebook - metaphysical) - Occult Principles of Health and Healing,129,,72.25,
The mind is the focusing medium whereby the ideas wrought by the imagination of the Spirit are projected upon the material universe.,,(ebook - metaphysical) - Occult Principles of Health and Healing,,Unknown,,(ebook - metaphysical) - Occult Principles of Health and Healing,132,,71.0,
"Let us now understand that the whole universe is pervaded with the power of the Father, always available to cure all ills of whatever nature;",,(ebook - metaphysical) - Occult Principles of Health and Healing,,Unknown,,(ebook - metaphysical) - Occult Principles of Health and Healing,141,,68.75,
The natural explanation of this is that your muscles are making veryquick short spasmodic jerks without your being conscious of the fact.,,(ebook - occult) aleister crowley - eight lectures on yoga,,Unknown,,(ebook - occult) aleister crowley - eight lectures on yoga,137,,68.25,
"Almost the only point of emancipation, in the sense of relief from a buÔrden, is just the difference between Life and Death.",,(ebook - occult) aleister crowley - eight lectures on yoga,,Unknown,,(ebook - occult) aleister crowley - eight lectures on yoga,124,,67.0,
"By so ordering every thought, word and act, in such a way that the attention is constantly recalled to the chosen object.",,(ebook - occult) aleister crowley - eight lectures on yoga,,Unknown,,(ebook - occult) aleister crowley - eight lectures on yoga,121,,66.25,
"The gift of mental power comes from God, Divine Being, and if we concentrate our minds on that truth, we become in tune with this great power.",,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,,Science,,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,142,,74.5,
"The consciousness of the external impression prompting me to any kind of exertion, physical or mental, is ever present in my mind.",,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,,Science,,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,130,,68.5,
"able to work thirty−eight years almost without a day's interruption, and find himself still strong and fresh in body and mind?",,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,,Science,,(ebook - pdf) Nicolas Tesla - The Strange Life of Nikola Tes,126,,65.5,
"The figures from the unconscious are uninformed too, and need man, or contact with consciousness, in order to attain to knowledge.",,(ebook - psychology) Carl G Jung - Life After Death (1),,Psychology,,(ebook - psychology) Carl G Jung - Life After Death (1),130,,72.5,
"Attainment of consciousness is culture in the broadest sense, and self-knowledge is therefore the heart and essence of this process.",,(ebook - psychology) Carl G Jung - Life After Death (1),,Psychology,,(ebook - psychology) Carl G Jung - Life After Death (1),132,,69.0,
"Still, I must state, to give reality its due, that, without my wishing and without my doing anything about it, thoughts of this nature move about within me.",,(ebook - psychology) Carl G Jung - Life After Death (1),,Psychology,,(ebook - psychology) Carl G Jung - Life After Death (1),156,,67.0,
"The figures from the unconscious are uninformed too, and need man, or contact with consciousness, in order to attain to knowledge.",,(ebook - psychology) Carl G Jung - Life After Death,,Psychology,,(ebook - psychology) Carl G Jung - Life After Death,130,,72.5,
"Attainment of consciousness is culture in the broadest sense, and self-knowledge is therefore the heart and essence of this process.",,(ebook - psychology) Carl G Jung - Life After Death,,Psychology,,(ebook - psychology) Carl G Jung - Life After Death,132,,69.0,
"Still, I must state, to give reality its due, that, without my wishing and without my doing anything about it, thoughts of this nature move about within me.",,(ebook - psychology) Carl G Jung - Life After Death,,Psychology,,(ebook - psychology) Carl G Jung - Life After Death,156,,67.0,
"Biological agents are micro organisms and toxins that are used by militaries to cause disease in personnel, animals, and plants.",,(ebooks) nuclear biological chemical survival ebook,,Unknown,,(ebooks) nuclear biological chemical survival ebook,128,,60.0,
● RESIDUAL RADIATION- this is radiation that last after the first minute of the detonation and is mainly classified as fallout.,,(ebooks) nuclear biological chemical survival ebook,,Unknown,,(ebooks) nuclear biological chemical survival ebook,127,,57.75,
"● NERVE AGENT- acts on the nervous system, interferes with breathing, cause convulsions, paralysis and death.",,(ebooks) nuclear biological chemical survival ebook,,Unknown,,(ebooks) nuclear biological chemical survival ebook,109,,57.25,
(d) This agreement is not intended to establish privity of contracts between the Government or the service Contractor(s) and Seller.,,000485e,,Unknown,,000485e,132,,59.0,
"by providing access to technical information and research, development and planning data such as, but not limited to, design and development analyses;",,000485e,,Unknown,,000485e,150,,58.5,
all to the extent necessary to assure timely and economical accomplishment of program objectives consistent with mission requirements.,,000485e,,Unknown,,000485e,134,,57.5,
Many of the political and social principles which sustained Egypt are being adapted for contemporary applications by the Temple of Set.,,01,,Unknown,,01,135,,63.75,
"The book’s contentions are often startling, but Massey documents his arguments so thoroughly and carefully that criticism is decidedly difficult.",,01,,Unknown,,01,145,,61.75,
"The result is a book with major insights into such episodes as the Hebrew exodus, the Akhenaten period, and the Setian dynasties.",,01,,Unknown,,01,129,,60.25,
"Chapters on life, the wisdom of the priesthoods, the secret religion, and the spiritual atmosphere of the land.",,02,,Unknown,,02,111,,65.75,
"the priestly function, the world of the temples, the sacred activities, the sacred wisdom, and the fortunes & misfortunes of the priesthoods.",,02,,Unknown,,02,141,,64.75,
"Included throughout the narrative are many digressions into the social, political, and cultural life of ancient Egypt.",,02,,Unknown,,02,118,,61.5,
FFRF is a very feisty atheist organization which publishes the bimonthly newspaper Freethought Today (subscription about US$30/year).,,03,,Unknown,,03,133,,63.25,
"A major feature is the ‘Black Collar Crimes’ column, which dutifully recounts the ongoing epidemic of sex crimes committed by Christian officials.",,03,,Unknown,,03,146,,61.5,
"Before acquiring a copy of #3I, consider whether #4E, which reprints extensively from it, will suffice for your needs and interests.” 3J.",,03,,Unknown,,03,137,,60.25,
Moreover Wilson becomes predictably confused as he tries to explain his ‘Faculty X’ as a natural potential of the mind.,,04,,Unknown,,04,119,,59.75,
"More than an anthropological study of bad craziness, it will alert the Initiate to delusional elements in modern life.",,04,,Unknown,,04,118,,59.5,
"Michael and Lilith Aquino are interviewed, clips of Anton LaVey from Satanis are shown, and from there the film goes downhill.",,04,,Unknown,,04,126,,59.5,
that ‘beings resembling anatomically-modern humans were present in the Early Pleistocene (1.7 million years ago) and Pliocene (3.5 million years ago)’.,,05,,Unknown,,05,151,,60.25,
"Nevertheless the book remains a sound archæological study, though dated in some areas which will be readily apparent to modern readers.",,05,,Unknown,,05,135,,59.75,
"It does include, however, a very intriguing account of the archæological efforts of Heinrich and Paul Schliemann concerning Atlantis.",,05,,Unknown,,05,133,,59.25,
Moreover the personality profiles are unrepresentative of the mainstream of post-III Satanists both within and without the San Francisco area.,,06,,Unknown,,06,142,,68.5,
"It failed to provide a new vision directly, but it is the nature of works of destruction that they carry the seeds of a new creation.",,06,,Unknown,,06,133,,63.25,
"An exhaustive bibliography is appended, as are names and addresses of important specialized contacts, both individuals and organizations.",,06,,Unknown,,06,137,,62.25,
"If the latter’s theme of negative architecture grabs your fancy, look for his Our Lady of Darkness (very much a TOS-5).” 7C.",,07,,Unknown,,07,124,,61.0,
"Chaosium publishes an ongoing series of books of fiction connected to the Cthulhu Mythos, including many out- of-print items and rarities.",,07,,Unknown,,07,138,,60.5,
"Lovecraft as of February 26, 2003 The novels and short stories of Howard Phillips Lovecraft are famed for their horrific imagery.",,07,,Unknown,,07,129,,60.25,
"The Order of Leviathan affiliate will find her undead exploring the problem of an eternal, powerful existence.” - 2 - 8K.",,08,,Unknown,,08,121,,68.25,
"Anne Rice’s vampires are beings operating generally at a highest and best level, although the human creeps in again and again.",,08,,Unknown,,08,126,,63.5,
"Only slightly less gory than #8A, this book explores various psychological implications of vampirism and proceeds to case studies.",,08,,Unknown,,08,130,,62.5,
"In this volume their layout is somewhat confusing, but there is the advantage of an excellent introduction and annotation by Regardie.",,09,,Unknown,,09,134,,61.5,
"Most aspects of his magical philosophy are covered, and the absence of magical jargon makes the book relatively easy to understand.",,09,,Unknown,,09,131,,60.75,
"system - the symbolism and structure of its various degrees - are omitted from this compendium, presumably to keep them mysterious.",,09,,Unknown,,09,131,,60.75,
"By the light of Lucifer, born of my desire for the attainment of becoming, open the gates of the dead to protect my very being spirit and flesh.",,1-The Binding of Shadows,,Unknown,,1-The_Binding_of_Shadows,144,,66.0,
"Emerge from your sleep of death and encircle my being, protecting my body as I dream and walk the web of night.",,1-The Binding of Shadows,,Unknown,,1-The_Binding_of_Shadows,111,,61.75,
It is however mostly a chore to create and empower such elementals that one would be focused for an extended period of time to create such beings.,,1-The Binding of Shadows,,Unknown,,1-The_Binding_of_Shadows,146,,61.5,
"This was really the only requirement for First Order, to partake of the Waters of Life and subscribe to the Basic Tenets.",,10 Oral Histories - A Reformed Druid Anthology,,Unknown,,10 Oral Histories - A Reformed Druid Anthology,121,,64.25,
"A Mission could be conducted sim- ply by having any Third Order, and the Third Order could consecrate the Waters of Life.",,10 Oral Histories - A Reformed Druid Anthology,,Unknown,,10 Oral Histories - A Reformed Druid Anthology,121,,64.25,
I always wondered if Druidism’s Eastern influence kept the Druids from evolving into what Isaac thought was it’s natural destiny.,,10 Oral Histories - A Reformed Druid Anthology,,Unknown,,10 Oral Histories - A Reformed Druid Anthology,129,,64.25,
"In the pristine Golden Dawn this grimoire was thought to be particularly ‘dangerous’, but by Setian standards it is merely quaint.",,10,,Unknown,,10,130,,64.5,
"Williams discusses the facts of his life, philosophy, and writings succinctly, suggesting prior influences and subsequent legacies.",,10,,Unknown,,10,131,,62.75,
"This history is based upon various personal and group interactions among the membership, not upon the evolution or development of magical theory.",,10,,Unknown,,10,145,,61.75,
"How else would life and health insurance companies be able to decide so imperiously who ""deserves"" their coverage, and at what rates...?",,100 Ways To Disappear And Live Free (1),,Unknown,,100 Ways To Disappear And Live Free (1),136,,64.0,
"When faced with such an inquisitive person, have prepared a set of standard answers which you can deliver without discomfort or concern.",,100 Ways To Disappear And Live Free (1),,Unknown,,100 Ways To Disappear And Live Free (1),136,,64.0,
"The object is for individuals, acting as individuals, to declare their mental independence from whatever System is attempting to enslave them.",,100 Ways To Disappear And Live Free (1),,Unknown,,100 Ways To Disappear And Live Free (1),142,,62.5,
"How else would life and health insurance companies be able to decide so imperiously who ""deserves"" their coverage, and at what rates...?",,100 Ways To Disappear And Live Free,,Unknown,,100 Ways To Disappear And Live Free,136,,64.0,
"When faced with such an inquisitive person, have prepared a set of standard answers which you can deliver without discomfort or concern.",,100 Ways To Disappear And Live Free,,Unknown,,100 Ways To Disappear And Live Free,136,,64.0,
"The object is for individuals, acting as individuals, to declare their mental independence from whatever System is attempting to enslave them.",,100 Ways To Disappear And Live Free,,Unknown,,100 Ways To Disappear And Live Free,142,,62.5,
"This book is the ‘missing link’ between the metaphysics of Pythagoras, Plato, and Aristotle and Dee’s otherwise-seemingly fantastic magical Workings.",,11,,Unknown,,11,149,,60.75,
The author is particularly sensitive to Dee’s linguistic skills and contributes many helpful research recommendations of his own.” 11B.,,11,,Unknown,,11,135,,59.75,
"While other biographical studies of Dee have been written, none compares with this one for insight, clarity, and readability.",,11,,Unknown,,11,125,,57.25,
"And, since it contains all of Plato’s works [in fine print, on microthin paper], cross-referencing - indispensable where Plato is concerned!",,12,,Unknown,,12,140,,63.0,
"Pythagoras was the first to use the pentagram as the symbol of his initiatory order, and death was the penalty for revealing its secret (phi).",,12,,Unknown,,12,142,,62.5,
"Supplementary chapters touch upon the Fibonacci Numbers, Pascal’s triangle, and other ‘golden ratios’ of science and nature.” 12E.",,12,,Unknown,,12,130,,62.5,
Congress possesses plenary (absolute) power to legislate in any way in indigenous affairs without the consent or consideration of indigenous nations.,,121707withdrawal,,Unknown,,121707withdrawal,149,,64.75,
"The continuing violations of these treaties’ terms have resulted in the near annihilation of our people physically, spiritually, and culturally.",,121707withdrawal,,Unknown,,121707withdrawal,144,,64.0,
"Although Lone Wolf involved the Kiowa and Comanche Nations in what is now the State of Oklahoma, its impact adversely affected Lakotah.",,121707withdrawal,,Unknown,,121707withdrawal,135,,61.75,
"Basically oriented towards a classical Christian concept of Dæmonology, but encyclopædic in its coverage nevertheless.” 13B.",,13,,Unknown,,13,124,,57.0,
"By no means ‘just a sex book’, though a background in Church of Satan history is necessary to understand the author’s point of perspective.",,13,,Unknown,,13,139,,56.75,
"This book is somewhat the opposite of Anton LaVey’s Compleat Witch in principle and in theory, but I feel it to be of equal importance.” 13H.",,13,,Unknown,,13,141,,56.75,
The Javelin weapon system is the dismounted weapon of choice for the Future Combat Systems (FCS) Unit of Action complementary systems.,,134,,Unknown,,134,134,,59.5,
"Description & Specifications Javelin is the first fire-and-forget, shoulder-fired, anti-tank missile fielded to the Army and Marine Corps, replacing Dragon.",,134,,Unknown,,134,156,,59.0,
Javelin’s two major modular components are a reusable command launch unit and a missile sealed in a disposable launch tube assembly.,,134,,Unknown,,134,132,,59.0,
"No other political analysis of Nazi Germany compares with it, and an understanding of the Nazi phenomenon is impossible without it.",,14,,Unknown,,14,131,,64.75,
"An Evaluation of the Spiritual-Intellectual Confrontations of our Age is available from Noontide Press, 1822-1/2 Newport Blvd.",,14,,Unknown,,14,126,,63.5,
"Look especially for the Synapse Films ‘Special Edition’ DVD #SFD0015, which is the most complete, best-restored version available.” - 9 - F14C.",,14,,Unknown,,14,143,,62.25,
"JCAD’s restructured acquisition strategy will assess commercially available products to provide the most capable, mature system, at the best life-cycle cost.",,140,,Unknown,,140,157,,60.75,
"JCAD is designed to interface and be compatible with current and future anti-chemical, nuclear, and biological software.",,140,,Unknown,,140,120,,58.0,
"WEAPON SYSTEMS 2007–2008 FOREIGN MILITARY SALES None CONTRACTORS Smith’s Detection (Edgewood, MD) Joint Chemical Agent Detector (JCAD) 141",,140,,Unknown,,140,138,,57.5,
"It is likewise an addictive drug, a place that hastens the decline of civility, and an immense source of powerlessness.",,15,,Unknown,,15,119,,61.75,
"Everyone knows that computers and computer science are continuing to mushroom, but few really know just how much and with what impact.",,15,,Unknown,,15,134,,61.5,
"Books for this reading list, many of them computer-prepared themselves, were located, ordered, and shipped by computers ...",,15,,Unknown,,15,123,,60.75,
"it is highly necessary to have recourse to a Metallick Spirit which is of the same nature with Gold, and therefore can unite it self with it.",,153 Chymical aphorisms,,Unknown,,153 Chymical aphorisms,141,,64.75,
"Hence our matter being resolved into a moist, viscous, and unctous Substance, is to be farther promoted and disjoyned by digestion.",,153 Chymical aphorisms,,Unknown,,153 Chymical aphorisms,131,,64.75,
"Hence, among all Substances which are determined in one of the three Families of Nature, to wit, the Vegetable, Animal, and Mineral;",,153 Chymical aphorisms,,Unknown,,153 Chymical aphorisms,132,,63.0,
"In the generation and vegetation of any thing whatsoever, the heat being extinct, death presently invadeth the growing matter.",,157 Phylosophick Canons,,Unknown,,157 Phylosophick Canons,126,,65.5,
"The matters being radically permixed in their profundity, through their most minute parts, are afterwards made inseparable, as Snow mix'd with Water.",,157 Phylosophick Canons,,Unknown,,157 Phylosophick Canons,149,,64.75,
"The Preparation of Mercury, which is performed by sublimation, (being adhibited after revisication) is better than that which is done by Amalgamation.",,157 Phylosophick Canons,,Unknown,,157 Phylosophick Canons,150,,64.5,
"Jaspers, Professor of Philosophy at the University of Basel, Switzerland, is one of the acknowledged giants of the academic community.",,16,,Unknown,,16,134,,65.5,
"There are sections on both Nietzsche’s life and his philosophy, which must be considered together for the latter to be meaningful.",,16,,Unknown,,16,130,,64.5,
"that ‘evil is a by- product of nature’s strategies for creation, and is woven into our most basic biological fabric’ (the ‘Lucifer Principle’).",,16,,Unknown,,16,143,,64.25,
"This book is listed specifically because of its included essay ‘The Unnaturalness of Human Nature’, which is brilliantly conceived.” 17E.",,17,,Unknown,,17,137,,66.25,
"A thoughtful and cautious study of human nature, particularly its destructive facets, from a biological perspective.",,17,,Unknown,,17,116,,63.0,
"There are ‘gaps’ in the fossil record between major species - for example, between early invertebrate sea creatures and ancient fishes.",,17,,Unknown,,17,135,,61.75,
Rune Magick Book - Introduction Armanen Runes This extraordinary spiritual technology is your personal gate to the powers of creation !!!,,18 Sacred Futhork Runes,,Unknown,,18 Sacred Futhork Runes,137,,72.25,
Power of becoming Which permeates The Realms of Creation Bring me in tune with the roofs From which life sprouts Eternally.,,18 Sacred Futhork Runes,,Unknown,,18 Sacred Futhork Runes,123,,70.75,
"It connects with the Divine that manifests itself within the finite universe, for ""a god who does no manifest itself is dead"" (Feuerbach).",,18 Sacred Futhork Runes,,Unknown,,18 Sacred Futhork Runes,138,,68.5,
The highest form of inductive logic directed towards the major issues of existence and survival of the egocentric consciousness after material death.,,18,,Unknown,,18,149,,64.75,
"The Spell for Life Unbounded by Time, caricatured as the ‘Scroll of Thoth’ in the classic Boris Karloff film The Mummy.",,18,,Unknown,,18,119,,59.75,
"There are chapters on assassination, disease, the soul, strange & bizarre funeral & entombment practices, suicide, artistic influences, war, etc.",,18,,Unknown,,18,145,,59.75,
"Sympathetic Ink Any solution that is colorless but becomes dark (and thus visible) by heating, by addition of other chemicals, etc.",,18th Century Chemical Terms,,Unknown,,18th Century Chemical Terms,131,,64.75,
"Wine Often used more broadly by eighteenth -century chemists to include any potable liquid which had become ""spiritous"" through fermentation;",,18th Century Chemical Terms,,Unknown,,18th Century Chemical Terms,141,,64.75,
See Spirit of mindererus Spout Any hollow projection from a vessel that is used to direct the liquid flow while pouring.,,18th Century Chemical Terms,,Unknown,,18th Century Chemical Terms,120,,64.0,
"To realize freedom, the mind has to learn to look at life, which is a vast movement without the bondage of time, for freedom lies beyond the field of consciousness.",,19,,Unknown,,19,164,,67.0,
"The plot centered around an ancient, highly-civilized race (the Krel), who had succeeded in expanding their mental powers almost to infinity.",,19,,Unknown,,19,141,,64.75,
"For a more detailed account of Reich’s controversial theory of life energy, see Ola Raknes, Ph.D., Wilhelm Reich and Orgonomy (Baltimore, Maryland:",,19,,Unknown,,19,147,,64.25,
"The collapse of the MDP and the unity of industrial workers, peasants and white-collar workers left the Government powerless by the 27th.",,1956 Hungarian Revolution,,Unknown,,1956 Hungarian Revolution,137,,64.25,
"As real power lay with the councils, Kadar's government had to destroy them and reinstall authoritarian relationships in the factories.",,1956 Hungarian Revolution,,Unknown,,1956 Hungarian Revolution,135,,63.75,
"Its high-sounding phrases were of course meaningless, but it also contained an 'analysis' of events in order to justify the approaching' repression.",,1956 Hungarian Revolution,,Unknown,,1956 Hungarian Revolution,148,,63.0,
"Awaken now from the sleep of the mind, that I summon the spirits of strength and silent victory, from which my being shall emerge.",,2-Casting the Circle,,Unknown,,2-Casting_the_Circle,130,,66.5,
"By the triangle of elemental sight I bless this circle, by the spirit mind of Godhood I emerge as one who commands the elements by Will alone.",,2-Casting the Circle,,Unknown,,2-Casting_the_Circle,142,,62.5,
"Guarded in the light of Prometheus, the state of Self- Love shall produce kindness and love for those around me.",,2-Casting the Circle,,Unknown,,2-Casting_the_Circle,112,,60.0,
"Number is one of the most powerful tools humans apply to their experience, and like language itself is often taken for granted.",,20,,Unknown,,20,127,,63.75,
"How can and should we estimate, assign, and evaluate boundaries, categories, and phenomena both within and without?",,20,,Unknown,,20,115,,62.75,
"An introduction to very large and infinite numbers, fractals, vampire numbers, leviathan numbers, and other mind-stretching ideas.",,20,,Unknown,,20,130,,62.5,
"It will be able to receive in-flight target updates via its onboard network radio, and will have limited automatic target recognition capability.",,202,,Unknown,,202,145,,63.75,
NLOS-LS will be available for evaluation in FY08 for integration into current forces as part of the FCS BCT spin-out strategy.,,202,,Unknown,,202,126,,55.5,
Future missile variants in follow-on FCS BCT spin increments may include air defense and non-lethal capabilities.,,202,,Unknown,,202,113,,52.25,
the thought of a robotic army able to take over the city of Metropolis was an unpleasant reminder of that which could happen to themselves.,,21,,Unknown,,21,139,,60.75,
"Another good introductory work without social science emphasis is Edward Cornish’s The Study of the Future (Washington, D.C.:",,21,,Unknown,,21,125,,60.25,
"An anthology of selected readings concerning the future, selected by the Dean of the School of Education, City University of New York.",,21,,Unknown,,21,134,,59.5,
