New_ID,Title,Title_Display,Alternate Title,Author,Year,Century,Category,Subcategory,Tradition,Keywords,Difficulty,Language,Public Domain,Short Description,Long Description,PDF_File_Name,PDF_Drive_Link,Cover_Image,OCR_Status,AI_Ready,Quote_1,Quote_2,Quote_3,Quote_Page,Featured,Daily_Wisdom_Eligible,Quest_Eligible,Notes,Preview_PDF_Drive_Link,Preview_Ready,Preview_Page_Count
FL_0011,The_Great_Fuss_and_Fume_Over_the_Omnipotent_Oom,The Great Fuss And Fume Over The Omnipotent Oom,,,,,,,,,,,,,,The_Great_Fuss_and_Fume_Over_the_Omnipotent_Oom.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTFJvaGRQRy1lWnc/view?usp=drivesdk&resourcekey=0-0lQWuxmF-kxt9K9QUzht5g,,,,,,,,,,,,https://drive.google.com/file/d/18DoslKvZmi8oJ2x3DT6yTN16nBSx1OeV/view?usp=sharing,True,10.0
FL_0012,Tantrum_Magick,Tantrum Magick,,,,,,,,,,,,,,Tantrum_Magick.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mneklIdy1yRjQ2aUk/view?usp=drivesdk&resourcekey=0-_tbMVufOM35HFa9fbfsDDw,,,,,,,,,,,,https://drive.google.com/file/d/1fMBVP7xJn55SpKVUmvYLdRYv1KYyBjE0/view?usp=sharing,True,10.0
FL_0013,Tantric_Body,Tantric Body,,,,,,,,,,,,,,Tantric_Body.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mncjFoekxsODRzUVE/view?usp=drivesdk&resourcekey=0-PRTluqYeH5ytDTI0khtr2Q,,,,,,,,,,,,https://drive.google.com/file/d/1lo-TIUJf2w6tE6Qn4382f0pbKUhy5p3S/view?usp=sharing,True,10.0
FL_0014,Tantra_of_Blowing_the_Mind,Tantra Of Blowing The Mind,,,,,,,,,,,,,,Tantra_of_Blowing_the_Mind.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnendOUndyd3lHbjA/view?usp=drivesdk&resourcekey=0-WtwO3DRz0MQTMzOSRCsGpA,,,,,,,,,,,,https://drive.google.com/file/d/1ltVSgawRtPzfpaJPTgK2BDdRR-FFwCrA/view?usp=sharing,True,10.0
FL_0015,Satanism-Tantrism_and_the_Left_Hand_Path,Satanism-Tantrism And The Left Hand Path,,,,,,,,,,,,,,Satanism-Tantrism_and_the_Left_Hand_Path.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTVpCSXM4TjVibG8/view?usp=drivesdk&resourcekey=0-lXPOOfbCDFowv11aWRFWig,,,,,,,,,,,,https://drive.google.com/file/d/1BjlYW2tQUnN7xtgMzX_8Oo4dTY9R7Slr/view?usp=sharing,True,10.0
FL_0016,Sanatana_Dharma_Gita,Sanatana Dharma Gita,,,,,,,,,,,,,,Sanatana_Dharma_Gita.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnd2d2Nnh2UW45UG8/view?usp=drivesdk&resourcekey=0-hIYNDA2PFtHkSeFVcIm0oQ,,,,,,,,,,,,https://drive.google.com/file/d/1aky59RoVsUp3LrTtI-OWPqN4nuj8TI6C/view?usp=sharing,True,10.0
FL_0017,Rudraksha,Rudraksha,,,,,,,,,,,,,,Rudraksha.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnSjFodDd5eTlpT2M/view?usp=drivesdk&resourcekey=0-0jUB8Dx3rh9m8IKSyt9wHQ,,,,,,,,,,,,https://drive.google.com/file/d/1Ct-r8MlRYpiti_LvEAwPbCxw6j7VcpYs/view?usp=sharing,True,10.0
FL_0018,Reflections_on_Tantra,Reflections On Tantra,,,,,,,,,,,,,,Reflections_on_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnYzdXLVFxUDd2OVk/view?usp=drivesdk&resourcekey=0-bLyU4BthgmJOUGM_PRJuzQ,,,,,,,,,,,,https://drive.google.com/file/d/1HwI9psVtgeBzwOI_1rd-AAgucsxO07U9/view?usp=sharing,True,10.0
FL_0019,The Alliance of The Good,The Alliance Of The Good,,,,,,,,,,,,,,The Alliance of The Good.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mneC13NHZfWFFhbFE/view?usp=drivesdk&resourcekey=0-sBIe_UKFsU6H4FS22Pl4gw,,,,,,,,,,,,https://drive.google.com/file/d/1C63meHfOFXA3dKu2Nfe_C5QtPxAErj8M/view?usp=sharing,True,10.0
FL_0020,Puja_of_the_Three_Super_Faculties,Puja Of The Three Super Faculties,,,,,,,,,,,,,,Puja_of_the_Three_Super_Faculties.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnVjBNSlRyU0dyQlU/view?usp=drivesdk&resourcekey=0-P1uI2S-BSrpidq9ET7CQEw,,,,,,,,,,,,https://drive.google.com/file/d/1t0xqQQoKvuPaC8-aQZn7qHdk2ZCR6Nov/view?usp=sharing,True,10.0
FL_0021,Prophetikos,Prophetikos,,,,,,,,,,,,,,Prophetikos.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWnFJeUZLanY0MlU/view?usp=drivesdk&resourcekey=0-mVIctXEUrcBEfUJ7p8vaaw,,,,,,,,,,,,https://drive.google.com/file/d/1cgk35XD6VI442ImOIpqHEW-KU5TaKIxv/view?usp=sharing,True,10.0
FL_0022,Pranayama_without_Tears,Pranayama Without Tears,,,,,,,,,,,,,,Pranayama_without_Tears.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnYzhHMkhwb3FZVFk/view?usp=drivesdk&resourcekey=0-SJUA3cFsaFQW_cPBNyL44w,,,,,,,,,,,,https://drive.google.com/file/d/1TcKCfI92s6J9CW2Ku4-hWzC8Q92ZhSg_/view?usp=sharing,True,10.0
FL_0023,Phantastikos,Phantastikos,,,,,,,,,,,,,,Phantastikos.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUkN2cHgwS2U3MU0/view?usp=drivesdk&resourcekey=0-vQkcYFa2QBZ8Df0fxpPB_w,,,,,,,,,,,,https://drive.google.com/file/d/1JZtdTBwpuqjgHZ5yMj-9jo8EjSAcRUnO/view?usp=sharing,True,10.0
FL_0024,Pathless_Path_to_Immortality,Pathless Path To Immortality,,,,,,,,,,,,,,Pathless_Path_to_Immortality.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZWFaZmJheFZoRzA/view?usp=drivesdk&resourcekey=0-fkBOl8MK24R6ojIw6vfLGg,,,,,,,,,,,,https://drive.google.com/file/d/1MXWd6pXbX5H3yGnjaXMeN_ytWhsp_TFA/view?usp=sharing,True,10.0
FL_0025,Omnipotent_Oom_-_Tantra_and_its_Impact_on_Modern_Western_Eso,Omnipotent Oom - Tantra And Its Impact On Modern Western Eso,,,,,,,,,,,,,,Omnipotent_Oom_-_Tantra_and_its_Impact_on_Modern_Western_Eso.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mneVlWRXg0THB4dDA/view?usp=drivesdk&resourcekey=0-tsk-CXfv22uq5x9KSX4Arg,,,,,,,,,,,,https://drive.google.com/file/d/13X0dl25BJYgf226lyvdrVqmaWi923lIY/view?usp=sharing,True,10.0
FL_0026,Notes_on_Pagan_India,Notes On Pagan India,,,,,,,,,,,,,,Notes_on_Pagan_India.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnVm1CTGtQdjNlV0E/view?usp=drivesdk&resourcekey=0-ixL3hePpM9I9w5sdOsda-Q,,,,,,,,,,,,https://drive.google.com/file/d/12JcDC41B1j9DdIaBE0sidp8ATqnDgAtY/view?usp=sharing,True,10.0
FL_0027,Nath_Code_and_Protocol,Nath Code And Protocol,,,,,,,,,,,,,,Nath_Code_and_Protocol.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTGcteWFjQUgtMzg/view?usp=drivesdk&resourcekey=0-t3BVqe-Z-FkWmZfZW5Cucw,,,,,,,,,,,,https://drive.google.com/file/d/1nmxsQDvazV8U4syhhpuTB2RNfAxwSrcO/view?usp=sharing,True,10.0
FL_0028,Modern_Tantra,Modern Tantra,,,,,,,,,,,,,,Modern_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWk1DQmstaEpvSkU/view?usp=drivesdk&resourcekey=0-cdn6ounufby595Cg-wmfMQ,,,,,,,,,,,,https://drive.google.com/file/d/1YB9AikvJR1PfU9fc4lm5g1Rgj2q4Pwks/view?usp=sharing,True,10.0
FL_0029,Magnum_Opus_of_Twilight_Yoga,Magnum Opus Of Twilight Yoga,,,,,,,,,,,,,,Magnum_Opus_of_Twilight_Yoga.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWnppYndjUTN4Y28/view?usp=drivesdk&resourcekey=0--aOdpcUwHxubJUk8Vx87OQ,,,,,,,,,,,,https://drive.google.com/file/d/1P54T2bNVFBnZBrGBHR0kXIzfASYrvphd/view?usp=sharing,True,10.0
FL_0030,Magick_Path_of_Tantra,Magick Path Of Tantra,,,,,,,,,,,,,,Magick_Path_of_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnbnNMT1A1OTFQUm8/view?usp=drivesdk&resourcekey=0-yjTJcFp_UQogmIupeUkVPA,,,,,,,,,,,,https://drive.google.com/file/d/1xdHl0bj0QGt0r5N0qS1dPkGVwnVI-4Uj/view?usp=sharing,True,10.0
FL_0031,The Alchemy Key by Stuart Nettleton,The Alchemy Key By Stuart Nettleton,,,,,,,,,,,,,,The Alchemy Key by Stuart Nettleton.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWVU1NGQ5YlFjNHM/view?usp=drivesdk&resourcekey=0-VU4QGySvAtZYobzWn6SUaQ,,,,,,,,,,,,,,
FL_0032,Londinium_Temple_Strain,Londinium Temple Strain,,,,,,,,,,,,,,Londinium_Temple_Strain.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRFI1LUxtQ0dmQ28/view?usp=drivesdk&resourcekey=0-OzR_QLOtyZhHD3KTm0kw3Q,,,,,,,,,,,,https://drive.google.com/file/d/1yhNLOLAKVMk_x8WXdZ6Yan-lhBL-i2El/view?usp=sharing,True,10.0
FL_0033,Levogyrate_Tantra,Levogyrate Tantra,,,,,,,,,,,,,,Levogyrate_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnc0tzWWttVkloNG8/view?usp=drivesdk&resourcekey=0-B5lnPZobNl52Zf-W73Jq_w,,,,,,,,,,,,https://drive.google.com/file/d/1dXQSTta0EaYutGDyGUZ9I5TEZ5aPkNyk/view?usp=sharing,True,10.0
FL_0034,Lalitopakyana,Lalitopakyana,,,,,,,,,,,,,,Lalitopakyana.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTmJLS2Z5QWZubEk/view?usp=drivesdk&resourcekey=0-fqn5li8OkrMF_kOjS9FLHg,,,,,,,,,,,,https://drive.google.com/file/d/12i6-eXoH-SKcEJibegEVsAzY3sj8RRRO/view?usp=sharing,True,10.0
FL_0035,Kundalini_-_A_Personal_Approach,Kundalini - A Personal Approach,,,,,,,,,,,,,,Kundalini_-_A_Personal_Approach.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOHl6bTFlMXVrRU0/view?usp=drivesdk&resourcekey=0-7Swur3aI2GNAUtUJMo0mjw,,,,,,,,,,,,https://drive.google.com/file/d/1bYmK9lw1H5n4Mow-wj3mHjf06X1ryfnJ/view?usp=sharing,True,10.0
FL_0036,Kularnava_Tantra_-_Summary,Kularnava Tantra - Summary,,,,,,,,,,,,,,Kularnava_Tantra_-_Summary.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnVVhKMHRBYzFXSEU/view?usp=drivesdk&resourcekey=0-vn3uc9i2hUXOogghVCpHHg,,,,,,,,,,,,https://drive.google.com/file/d/1aSECMR5Txl2b1kBV13Zh_Km8Q6yxhbKk/view?usp=sharing,True,10.0
FL_0037,Great_Fuss_and_Fume_Over_the_Omnipotent_Oom,Great Fuss And Fume Over The Omnipotent Oom,,,,,,,,,,,,,,Great_Fuss_and_Fume_Over_the_Omnipotent_Oom.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnalA2eWZPOV9nS2s/view?usp=drivesdk&resourcekey=0-MaGNZeGj-yJUq6ZSK8Kikw,,,,,,,,,,,,https://drive.google.com/file/d/1-Bu8DjCXDZr5LKtUxs9uX0ose5Kc8FK2/view?usp=sharing,True,10.0
FL_0038,Ganas_-_Hooligans_of_Heaven,Ganas - Hooligans Of Heaven,,,,,,,,,,,,,,Ganas_-_Hooligans_of_Heaven.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWk5ieGNNZ3J1dDg/view?usp=drivesdk&resourcekey=0-oAGH_pF7QOEF8wrhMHzJlw,,,,,,,,,,,,https://drive.google.com/file/d/1fpPVwRrbMqibXVJozbNMbaQRCGBe_XF-/view?usp=sharing,True,10.0
FL_0039,Five_Rites_of_Rejuvenation,Five Rites Of Rejuvenation,,,,,,,,,,,,,,Five_Rites_of_Rejuvenation.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnNC1qYXoyVnQ2Sjg/view?usp=drivesdk&resourcekey=0-ZP4VGA8Rz18iklLIniMn6A,,,,,,,,,,,,https://drive.google.com/file/d/1ai_OIrGmw2KX24zxDARspxL5CDSwJW8V/view?usp=sharing,True,10.0
FL_0040,Esoterikos_Orgia_Mysterion,Esoterikos Orgia Mysterion,,,,,,,,,,,,,,Esoterikos_Orgia_Mysterion.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRmR2UUthN3F6Y2s/view?usp=drivesdk&resourcekey=0-sILUbiuljPp9u5m63f0vdA,,,,,,,,,,,,https://drive.google.com/file/d/1Hl_JmUeYfBiuhvhqZi5xoE5v3OrvFJEb/view?usp=sharing,True,10.0
FL_0041,Erotic_Body_Alchemy_of_the_Chakras,Erotic Body Alchemy Of The Chakras,,,,,,,,,,,,,,Erotic_Body_Alchemy_of_the_Chakras.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUGx1Y0RiU0Z6NE0/view?usp=drivesdk&resourcekey=0-HVoCyfI2-hR7HPwoLceMKQ,,,,,,,,,,,,https://drive.google.com/file/d/1GWh5fzQkS8iVSmzL5RMDPEsZ2kszuVT2/view?usp=sharing,True,10.0
FL_0042,Ecstasy_Equipoise_and_Eternity,Ecstasy Equipoise And Eternity,,,,,,,,,,,,,,Ecstasy_Equipoise_and_Eternity.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnazFka29wY1cxVjg/view?usp=drivesdk&resourcekey=0-DbwQfz09XiDeKYvhGnKpkQ,,,,,,,,,,,,https://drive.google.com/file/d/1nBNbHez54kTwFNqRGRK8O8J9TofpRtMz/view?usp=sharing,True,10.0
FL_0043,Devotions_&_Demonesses,Devotions & Demonesses,,,,,,,,,,,,,,Devotions_&_Demonesses.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnckVQOHZLSzctU2c/view?usp=drivesdk&resourcekey=0-Hpz6yXHt8oJDuFk3A-E2GQ,,,,,,,,,,,,https://drive.google.com/file/d/1-I3p8sfvvf1jyNo60d2JTrjHqT1Gb2Gj/view?usp=sharing,True,10.0
FL_0044,Dattatreya_Rite,Dattatreya Rite,,,,,,,,,,,,,,Dattatreya_Rite.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnNGpDZ2VlSDRzX1k/view?usp=drivesdk&resourcekey=0-yqtO-74qM2TzzDcoEWLMGw,,,,,,,,,,,,https://drive.google.com/file/d/1dkb3rNBmbIKTK6c_m-9smD3c_5nuU9iS/view?usp=sharing,True,10.0
FL_0045,Dattatreya,Dattatreya,,,,,,,,,,,,,,Dattatreya.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnalZZOTVrc0xQSmM/view?usp=drivesdk&resourcekey=0-QY9GRe2unRmpbFZUjCaP_Q,,,,,,,,,,,,https://drive.google.com/file/d/17yeTVLAq1nkaY7bdkd2Foc3d5CX0fFCM/view?usp=sharing,True,10.0
FL_0046,Creation_of_Anima-Shakti,Creation Of Anima-Shakti,,,,,,,,,,,,,,Creation_of_Anima-Shakti.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZjZCWWNhbS1vbGs/view?usp=drivesdk&resourcekey=0-B19CRsKJynCrBJR82-w7sA,,,,,,,,,,,,https://drive.google.com/file/d/1FBjuWq3llk1MaBt78hh8TmW-i1MEUZDu/view?usp=sharing,True,10.0
FL_0047,Bhairava_-_The_Wrathful,Bhairava - The Wrathful,,,,,,,,,,,,,,Bhairava_-_The_Wrathful.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnc1ZRUnNZc1hEQTQ/view?usp=drivesdk&resourcekey=0-sSEd-3ay8UD5zGPEdmB77A,,,,,,,,,,,,https://drive.google.com/file/d/11FylYdArbkqiSgD0TySGSZLIWp__zWkH/view?usp=sharing,True,10.0
FL_0048,Aspects_of_Tantra,Aspects Of Tantra,,,,,,,,,,,,,,Aspects_of_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mndVRzekY4VG10dEU/view?usp=drivesdk&resourcekey=0-64hERCkvFUIdOsIWY6p5yQ,,,,,,,,,,,,https://drive.google.com/file/d/11-S6N_pLzHqz0AN2taTJwzVnpKSVVwzo/view?usp=sharing,True,10.0
FL_0049,Ainigmatikos,Ainigmatikos,,,,,,,,,,,,,,Ainigmatikos.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOS1CNU0xMEJsVG8/view?usp=drivesdk&resourcekey=0-Mwi3KRcgMJcBLorykLpeuw,,,,,,,,,,,,https://drive.google.com/file/d/1DBamzXocHf4Mha6BBD4N2Sdp2D8NvAcN/view?usp=sharing,True,10.0
FL_0050,Subtle_Union,Subtle Union,,,,,,,,,,,,,,Subtle_Union.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnc2x6RFpEYlJnMUk/view?usp=drivesdk&resourcekey=0-NKaASiHyp1fMyivrommBug,,,,,,,,,,,,https://drive.google.com/file/d/1QaRqGrWCiGgYU8kMWPoH_y6-YfFaw4Mx/view?usp=sharing,True,10.0
FL_0051,Sex_Magic_Primer,Sex Magic Primer,,,,,,,,,,,,,,Sex_Magic_Primer.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU0l4M2dwSnJyWUE/view?usp=drivesdk&resourcekey=0-YSjcBp7BpRMCJJnu6f4ybA,,,,,,,,,,,,https://drive.google.com/file/d/1fsHY4qQ6iPpx4rfAVTKl4_Tasu3xWIre/view?usp=sharing,True,10.0
FL_0052,Sex_Magick_and_Goetic_Operations,Sex Magick And Goetic Operations,,,,,,,,,,,,,,Sex_Magick_and_Goetic_Operations.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWWJqWS0wMGc1dGM/view?usp=drivesdk&resourcekey=0-6a5LhgGZ_y71Ny-gZwyFmQ,,,,,,,,,,,,https://drive.google.com/file/d/1VXHKCeG-aP9sKoNBHAnHQT0bXAmETGL2/view?usp=sharing,True,10.0
FL_0053,Ouroborus_Tantric_Experience,Ouroborus Tantric Experience,,,,,,,,,,,,,,Ouroborus_Tantric_Experience.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mna0pwQ29NRWp6WjA/view?usp=drivesdk&resourcekey=0-_PLKWbB5GM_nBwLKicjRPQ,,,,,,,,,,,,https://drive.google.com/file/d/12dzakzUltLImetCK25X_g6qMpV_RmoOY/view?usp=sharing,True,10.0
FL_0054,Michigan_Evocation,Michigan Evocation,,,,,,,,,,,,,,Michigan_Evocation.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU0xhQVpKSGkybWc/view?usp=drivesdk&resourcekey=0-ASepta4JRiQYwsLHnvjhMg,,,,,,,,,,,,https://drive.google.com/file/d/1p6aB1CcHMxXu6LTr4BuiAh5xqsw4NZCd/view?usp=sharing,True,10.0
FL_0055,Magica_Sexualis,Magica Sexualis,,,,,,,,,,,,,,Magica_Sexualis.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWkpwTkdkSjljdkk/view?usp=drivesdk&resourcekey=0-V5Y224nhnfezO3aRLYsKOw,,,,,,,,,,,,https://drive.google.com/file/d/19BO7Ad9-AYGZLzbq4jFilMWOvGzRmrHj/view?usp=sharing,True,10.0
FL_0056,Love_under_Will_-_Sexuality_Magic_&_Liberation,Love Under Will - Sexuality Magic & Liberation,,,,,,,,,,,,,,Love_under_Will_-_Sexuality_Magic_&_Liberation.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU0F5cDVLSVdkb28/view?usp=drivesdk&resourcekey=0-eH8_uBcKNttwwIn1PsXikw,,,,,,,,,,,,https://drive.google.com/file/d/1GBiDh3MFqCfVeckh40hEqhH0AOhJ97Sh/view?usp=sharing,True,10.0
FL_0057,Love_Under_Will,Love Under Will,,,,,,,,,,,,,,Love_Under_Will.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWGpQcG1QWlg5Wkk/view?usp=drivesdk&resourcekey=0-QQ6-P6Oqi025_ZWhB8bOtA,,,,,,,,,,,,https://drive.google.com/file/d/1TAfDM7Z5D8b1Ad065j64NLdou355VI4h/view?usp=sharing,True,10.0
FL_0058,Liber_Conjunctus,Liber Conjunctus,,,,,,,,,,,,,,Liber_Conjunctus.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mndjFEMGZPX0Q5Z2M/view?usp=drivesdk&resourcekey=0-6kPX7Bn2veJIZZBlb2I53A,,,,,,,,,,,,https://drive.google.com/file/d/1SlJWAWrYEIQc4iePdERd1IpXl_Camvn4/view?usp=sharing,True,10.0
